Gr Liv Area,Gr Liv Area^2,Gr Liv Area^3,Overall Qual,Total Bsmt SF,Garage Area,Year Built,Mas Vnr Area,SalePrice
1320.0,1742400.0,2299968000.0,5.0,1164.0,564.0,1966.0,97.0,164500
1950.0,3802500.0,7414875000.0,9.0,1950.0,706.0,2007.0,480.0,383000
2599.0,6754801.0,17555727799.0,9.0,1393.0,779.0,1999.0,165.0,333168
1130.0,1276900.0,1442897000.0,5.0,1120.0,720.0,1920.0,0.0,120000
2482.0,6160324.0,15289924168.0,8.0,1094.0,642.0,2005.0,245.0,281213
1497.0,2241009.0,3354790473.0,6.0,825.0,672.0,1937.0,0.0,157000
1412.0,1993744.0,2815166528.0,6.0,616.0,432.0,2006.0,0.0,156932
1337.0,1787569.0,2389979753.0,4.0,832.0,263.0,1956.0,0.0,108000
492.0,242064.0,119095488.0,3.0,492.0,200.0,1921.0,0.0,61500
1479.0,2187441.0,3235225239.0,7.0,1645.0,578.0,1987.0,310.0,213500
1811.0,3279721.0,5939574731.0,6.0,1073.0,470.0,1956.0,0.0,230000
789.0,622521.0,491169069.0,5.0,789.0,250.0,1948.0,0.0,115000
2283.0,5212089.0,11899199187.0,8.0,1008.0,632.0,2003.0,188.0,270000
1092.0,1192464.0,1302170688.0,5.0,1092.0,264.0,1966.0,0.0,123000
1732.0,2999824.0,5195695168.0,6.0,741.0,476.0,1985.0,336.0,178000
1069.0,1142761.0,1221611509.0,6.0,1069.0,440.0,1975.0,0.0,146300
1336.0,1784896.0,2384621056.0,4.0,637.0,570.0,1920.0,0.0,108000
1604.0,2572816.0,4126796864.0,6.0,926.0,472.0,1998.0,0.0,195500
1632.0,2663424.0,4346707968.0,7.0,935.0,462.0,1998.0,0.0,176500
874.0,763876.0,667627624.0,5.0,864.0,288.0,1968.0,0.0,126500
1260.0,1587600.0,2000376000.0,7.0,1260.0,598.0,1983.0,174.0,181900
2210.0,4884100.0,10793861000.0,6.0,1008.0,205.0,1880.0,0.0,117500
1782.0,3175524.0,5658783768.0,8.0,1782.0,932.0,2004.0,238.0,296000
999.0,998001.0,997002999.0,5.0,925.0,300.0,1962.0,0.0,134500
2338.0,5466244.0,12780078472.0,9.0,2660.0,1110.0,2006.0,710.0,591587
1593.0,2537649.0,4042474857.0,6.0,839.0,398.0,2004.0,0.0,193000
1561.0,2436721.0,3803721481.0,6.0,1561.0,463.0,1960.0,132.0,193000
1720.0,2958400.0,5088448000.0,7.0,840.0,440.0,2004.0,0.0,183500
1671.0,2792241.0,4665834711.0,6.0,1427.0,484.0,1978.0,101.0,200000
1456.0,2119936.0,3086626816.0,6.0,855.0,440.0,1975.0,0.0,149900
796.0,633616.0,504358336.0,5.0,796.0,0.0,1910.0,0.0,85000
1542.0,2377764.0,3666512088.0,8.0,1542.0,852.0,2007.0,164.0,260261
1573.0,2474329.0,3892119517.0,6.0,756.0,440.0,2000.0,216.0,177000
1488.0,2214144.0,3294646272.0,5.0,0.0,569.0,1952.0,232.0,135000
1788.0,3196944.0,5716135872.0,4.0,1104.0,304.0,1957.0,0.0,161500
803.0,644809.0,517781627.0,5.0,720.0,360.0,1941.0,0.0,87000
1432.0,2050624.0,2936493568.0,6.0,1022.0,216.0,1923.0,0.0,149000
1162.0,1350244.0,1568983528.0,7.0,1162.0,483.0,2007.0,0.0,170000
2078.0,4318084.0,8972978552.0,8.0,1034.0,836.0,2007.0,100.0,339750
